timestamp, numeroDepartement, sousPrefecture, nomDemarche, creneauxLibres, creneauxComplets, totalCreneaux
1691438607.582113,76,Rouen,Demander un premier titre de séjour,0,0,0
1691438610.728792,76,Rouen,Renouveler un titre de séjour,0,0,0
1691438621.201723,76,Rouen,Renouveler une carte de résident,19,29,48
1691438640.91187,76,Rouen,Retirer un titre de séjour,0,0,0
1691438644.199978,76,Rouen,Retirer un récépissé,0,0,0
1691438673.694412,76,Rouen,Retirer un document de voyage,11,10,21
1691438676.211739,76,Rouen,Regulariser un séjour,0,0,0
1691438964.67498,76,Rouen,Demander un premier titre de séjour,0,0,0
1691438967.299177,76,Rouen,Renouveler un titre de séjour,0,0,0
1691438978.020311,76,Rouen,Renouveler une carte de résident,19,29,48
1691439016.017381,76,Rouen,Retirer un titre de séjour,0,0,0
1691439020.548233,76,Rouen,Retirer un récépissé,0,0,0
1691439060.037075,76,Rouen,Retirer un document de voyage,11,10,21
1691439063.730615,76,Rouen,Regulariser un séjour,0,0,0
